ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1,Honda City 1.5 EXI,Pune,2001,125943,Petrol,Manual,Second,13.0 kmpl,1493 CC,100 bhp,5,1.45
2,Honda City i-VTEC CVT VX,Kochi,2018,22974,Petrol,Automatic,First,18.0 kmpl,1497 CC,,5,11.97
3,Toyota Corolla H2,Coimbatore,2005,79012,Petrol,Manual,First,13.4 kmpl,1794 CC,,5,2.64
4,Maruti Swift Dzire VDI,Hyderabad,2013,84175,Diesel,Manual,First,,1248 CC,74 bhp,5,6.95
5,Toyota Fortuner 4x2 Manual,Delhi,2013,71000,,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,15.25
6,Skoda Laura Ambiente 2.0 TDI CR AT,Chennai,2013,,Diesel,Automatic,First,20.0 kmpl,1968 CC,138.1 bhp,5,6.95
7,BMW X5 xDrive 30d,Mumbai,,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5,45
8,Maruti Swift Dzire VDI,Bangalore,2014,29000,,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,5.75
9,Hyundai i20 Sportz Option,Delhi,2010,,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,2.6
10,Maruti Vitara Brezza ZDi Plus Dual Tone,Delhi,2016,22000,Diesel,Manual,,24.3 kmpl,1248 CC,88.5 bhp,5,8.25
11,Mahindra Thar CRDe AC,Coimbatore,2019,16392,Diesel,Manual,First,16.55 kmpl,2498 CC,,6,10.36
12,Honda WRV i-VTEC VX,Hyderabad,2017,,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5,8.9
13,Mercedes-Benz E-Class 230 E AT,Mumbai,2008,77000,Petrol,Automatic,Second,10.0 kmpl,2496 CC,157.7 bhp,5,6.5
14,Maruti Wagon R LXI CNG,Ahmedabad,2016,,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,3.3
15,Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,Diesel,Manual,First,20.65 kmpl,1248 CC,88.7 bhp,5,6.69
